,Item description (local 1) (F),Tekstinsyotto
1,"EMC-CABLE GLAND M40X1,5 MS/NI SKINTOP MS-M BRUSH","EMC-CABLE GLAND M40 x 1,5 MS/NI SKINTOP MS-M BRUSH"
2,KOROTUSHOLKKI M3x13 PA MUSTA LASIK. VAHV: RTSN-M3-13-6-1,KOROTUSHOLKKI M3 x 13 PA MUSTA LASIK. VAHV: RTSN-M3-13-6-1
3,"JOHDINSIDE 4,8x200mm PA MUSTA 2-SILMUKKAA RICHCO WIT-DH-1BK","JOHDINSIDE 4,8 x 200mm PA MUSTA 2-SILMUKKAA RICHCO WIT-DH-1BK"
4,JOHDINSIDE TARRA-ANKKURI 28X28 MUS. PA ESSENTRA SR1718-3,JOHDINSIDE TARRA-ANKKURI 28 x 28 MUS. PA ESSENTRA SR1718-3
5,"KAAPELIKIINNIKE NPRS-1862 PA NAT, REIKÄ 4,1X9,5X33,3","KAAPELIKIINNIKE NPRS-1862 PA NAT, REIKÄ 4,1 x 9,5 x 33,3"
6,SUOJAHATTU 9.5X12.7mm PUN. PVC MAX 176.7°C FCZF-0095-013,SUOJAHATTU 9.5 x 12.7mm PUN. PVC MAX 176.7°C FCZF-0095-013
7,"KAAPELIKIINNIKE NPRS-2131 POLYASETAALI 4,1x9,5x33,3","KAAPELIKIINNIKE NPRS-2131 POLYASETAALI 4,1 x 9,5 x 33,3"
8,"CABLE TIE 4,8X225 SELF-MOUNT Ø5mm . RICHCO WIT-50RLA-UVB-M","CABLE TIE 4,8 x 225 SELF-MOUNT Ø5mm . RICHCO WIT-50RLA-UVB-M"
9,"PCB Spacer, Nylon6.6, Dual Side 14x4mm DLSP-1-14M-01","PCB Spacer, Nylon6.6, Dual Side 14 x 4mm DLSP-1-14M-01"
10,"JOHDINSIDE 115X2,5 PIKAKIIN. Ø4,75mm MUST. WIT-18RA-4-UVB-M","JOHDINSIDE 115 x 2,5 PIKAKIIN. Ø4,75mm MUST. WIT-18RA-4-UVB-M"
11,"CABLE TIE ,MOUNTED 160X3.6 NAT WIT-30RCA-4-M","CABLE TIE ,MOUNTED 160 x 3.6 NAT WIT-30RCA-4-M"
12,"TUKIALUSLEVY KIINNITTYVÄ M3 PA6.6 M3,2X7X1,4 NAT","TUKIALUSLEVY KIINNITTYVÄ M3 PA6.6 M3,2 x 7 x 1,4 NAT"
13,"ERISTYSPILARI M3x13 halk.6,5mm sisä( ms)/ulkokierre (ms)","ERISTYSPILARI M3 x 13 halk.6,5mm sisä( ms)/ulkokierre (ms)"
14,"KOROTUSHOLKKI 4,2x12 MS/NI RICHCO BG4ST4.2-12-7","KOROTUSHOLKKI 4,2 x 12 MS/NI RICHCO BG4ST4.2-12-7"
15,"KOROTUSHOLKKI 4,2X25 MS/NI RICHCO BG4ST4.2-25-7","KOROTUSHOLKKI 4,2 x 25 MS/NI RICHCO BG4ST4.2-25-7"
16,Korotusholkki M3X8 PA sisä/sis TNM3-8-12-1,Korotusholkki M3 x 8 PA sisä/sis TNM3-8-12-1
17,Korotusholkki M3X8 PA Sisä/ulkokierre,Korotusholkki M3 x 8 PA Sisä/ulkokierre
18,"KAAPELIKIINNIKE TC-30-1-01 PA NAT,REIKÄ 3,8X9,5X33,3","KAAPELIKIINNIKE TC-30-1-01 PA NAT,REIKÄ 3,8 x 9,5 x 33,3"
19,PLASTIC LEAF HINGE 40X40,PLASTIC LEAF HINGE 40 x 40
